Id, Naam, Gameplay, Graphics, Storyline, Totaal, Beschrijving
3 Zelda 3 5 10 6.0 Super_dog_game_man
2 Zelda 5 5 5 5.0 ik_hou_van_kaas
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
3 Pacman 3 3 3 3.0 3
3 Pacman 3 3 3 3.0 3
3 Pacman 3 3 3 3.0 3
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 y
3 Pacman 3 3 3 3.0 3
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 y
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
4 Shantosh-island 1 1 1 1.0 1
1 Mario 5 5 5 5.0 5
2 Zelda 4 4 5 4.333333333333333 afaf
2 Zelda 5 5 5 5.0 afda
2 Zelda 2 2 4 2.6666666666666665 aga
4 Shantosh-island 5 5 5 5.0 blala
3 Pacman 4 1 1 2.0 1
3 Pacman 3 3 3 3.0 saf
4 Shantosh-island 5 5 5 5.0 test
3 Pacman 5 5 5 5.0 geen
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 2
2 Zelda 2 2 2 2.0 test
2 Zelda 2 3 5 3.3333333333333335 test3
4 Shantosh-island 4 4 5 4.333333333333333 geen
2 Zelda 2 2 2 2.0 testing
1 Mario 5 5 5 5.0 testing4
1 Mario 2 2 2 2.0 testing7
2 Zelda 2 2 2 2.0 test
2 Zelda 2 2 2 2.0 2
3 Pacman 5 6 7 6.0 blabla
3 Pacman 6 6 6 6.0 I_am_speed
